,Champ_Name,Champ_Key,Champ_Tags
57,Kindred,203,['Marksman']
58,Kled,240,"['Fighter', 'Tank']"
59,KogMaw,96,"['Marksman', 'Mage']"
60,Leblanc,7,"['Assassin', 'Mage']"
61,LeeSin,64,"['Fighter', 'Assassin']"
62,Leona,89,"['Tank', 'Support']"
63,Lissandra,127,['Mage']
64,Lucian,236,['Marksman']
65,Lulu,117,"['Support', 'Mage']"
66,Lux,99,"['Mage', 'Support']"
67,Malphite,54,"['Tank', 'Fighter']"
68,Malzahar,90,"['Mage', 'Assassin']"
69,Maokai,57,"['Tank', 'Mage']"
70,MasterYi,11,"['Assassin', 'Fighter']"
71,MissFortune,21,['Marksman']
72,MonkeyKing,62,"['Fighter', 'Tank']"
73,Mordekaiser,82,['Fighter']
74,Morgana,25,"['Mage', 'Support']"
75,Nami,267,"['Support', 'Mage']"
76,Nasus,75,"['Fighter', 'Tank']"
77,Nautilus,111,"['Tank', 'Fighter']"
78,Neeko,518,"['Mage', 'Support']"
79,Nidalee,76,"['Assassin', 'Mage']"
80,Nocturne,56,"['Assassin', 'Fighter']"
81,Nunu,20,"['Tank', 'Fighter']"
82,Olaf,2,"['Fighter', 'Tank']"
83,Orianna,61,"['Mage', 'Support']"
84,Ornn,516,"['Tank', 'Fighter']"
85,Pantheon,80,"['Fighter', 'Assassin']"
86,Poppy,78,"['Tank', 'Fighter']"
87,Pyke,555,"['Support', 'Assassin']"
88,Qiyana,246,"['Assassin', 'Fighter']"
89,Quinn,133,"['Marksman', 'Assassin']"
90,Rakan,497,['Support']
91,Rammus,33,"['Tank', 'Fighter']"
92,RekSai,421,['Fighter']
93,Renekton,58,"['Fighter', 'Tank']"
94,Rengar,107,"['Assassin', 'Fighter']"
95,Riven,92,"['Fighter', 'Assassin']"
96,Rumble,68,"['Fighter', 'Mage']"
97,Ryze,13,"['Mage', 'Fighter']"
98,Sejuani,113,"['Tank', 'Fighter']"
99,Senna,235,"['Marksman', 'Mage']"
100,Shaco,35,['Assassin']
101,Shen,98,['Tank']
102,Shyvana,102,"['Fighter', 'Tank']"
103,Singed,27,"['Tank', 'Fighter']"
104,Sion,14,"['Tank', 'Fighter']"
105,Sivir,15,['Marksman']
106,Skarner,72,"['Fighter', 'Tank']"
107,Sona,37,"['Support', 'Mage']"
108,Soraka,16,"['Support', 'Mage']"
109,Swain,50,"['Mage', 'Fighter']"
110,Sylas,517,"['Mage', 'Assassin']"
111,Syndra,134,"['Mage', 'Support']"
112,TahmKench,223,"['Support', 'Tank']"
113,Taliyah,163,"['Mage', 'Support']"
114,Talon,91,['Assassin']
115,Taric,44,"['Support', 'Fighter']"
116,Teemo,17,"['Marksman', 'Assassin']"
117,Thresh,412,"['Support', 'Fighter']"
118,Tristana,18,"['Marksman', 'Assassin']"
119,Trundle,48,"['Fighter', 'Tank']"
120,Tryndamere,23,"['Fighter', 'Assassin']"
121,TwistedFate,4,['Mage']
122,Twitch,29,"['Marksman', 'Assassin']"
123,Udyr,77,"['Fighter', 'Tank']"
124,Urgot,6,"['Fighter', 'Tank']"
125,Varus,110,"['Marksman', 'Mage']"
126,Vayne,67,"['Marksman', 'Assassin']"
127,Veigar,45,['Mage']
128,Velkoz,161,['Mage']
129,Vi,254,"['Fighter', 'Assassin']"
130,Viktor,112,['Mage']
131,Vladimir,8,['Mage']
132,Volibear,106,"['Fighter', 'Tank']"
133,Warwick,19,"['Fighter', 'Tank']"
134,Xayah,498,['Marksman']
135,Xerath,101,['Mage']
136,XinZhao,5,"['Fighter', 'Assassin']"
137,Yasuo,157,"['Fighter', 'Assassin']"
138,Yorick,83,"['Fighter', 'Tank']"
139,Yuumi,350,"['Support', 'Mage']"
140,Zac,154,"['Tank', 'Fighter']"
141,Zed,238,['Assassin']
142,Ziggs,115,['Mage']
143,Zilean,26,"['Support', 'Mage']"
144,Zoe,142,"['Mage', 'Support']"
145,Zyra,143,"['Mage', 'Support']"
